branch,department,class,gross_sales,discount,sales_after_discount,Vat Amount,Net Sales,B,A,C,"Cst Ls Vt
",Net Contribution,Margin ,Markup ,source_file,source_branch,loaded_at,sku_code,product_name,quantity,vat_amount,net_sale,cost_ex_vat,net_contribution,margin_pct,markup_pct,Total Net Contribution : ,2230.3706896551726,\
Jogoo Road,BAZAR,Accessories,1385.0,0.50847457,1384.49152543,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V40919696,WOW 15G,98.0,190.96434833517213,1193.5271770948277,506.8965517241376,686.63062537069,57.529534186395495,135.45774242006817,,,
Jogoo Road,BAZAR,Accessories,480.0,0.0,480.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V0096,Nivea Lipbalm Black Berry Shine 4.8g,1.0,66.20689655172413,413.7931034482759,312.5,101.29310344827587,24.479166666666668,32.41379310344828,,,
Jogoo Road,BAZAR,Accessories,420.0,0.0,420.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,RE40920883,SUNNY GIRL PADS,6.0,0.0,420.0,324.0,96.0,22.857142857142858,29.629629629629626,,,
Jogoo Road,BAZAR,Accessories,250.0,0.0,250.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V0137,jumbo,1.0,34.48275862068965,215.51724137931035,157.75862068965517,57.758620689655174,26.8,36.6120218579235,,,
Jogoo Road,BAZAR,Accessories,480.0,0.0,480.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V0024,Nivea revitalizing 200ml,1.0,66.20689655172413,413.7931034482759,269.3103448275862,144.48275862068965,34.916666666666664,53.64916773367477,,,
Jogoo Road,BAZAR,Accessories,7080.0,0.0,7080.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,101019,BIC LIGHTERS J5,59.0,976.5517241379316,6103.448275862069,3928.3237931034446,2175.1244827586243,35.63763276836164,55.37029525359563,,,
Jogoo Road,BAZAR,Accessories,5040.0,0.0,5040.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,101020,Bic Lighters J6,28.0,695.1724137931027,4344.827586206898,2891.724137931036,1453.1034482758619,33.44444444444443,50.25041736227042,,,
Jogoo Road,BAZAR,Accessories,0.0,0.0,0.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,101021,Bic Lighters J 38,0.0,0.0,0.0,5.684341886080802e-14,-5.684341886080802e-14,-inf,-100.0,,,
Jogoo Road,BAZAR,Accessories,3760.0,0.0,3760.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V0123,Dairyland vanilla/strawberry 120ml,47.0,518.6206896551724,3241.3793103448274,2025.8574999999996,1215.5218103448278,37.50014095744682,60.00036085187769,,,
Jogoo Road,BAZAR,Accessories,0.0,0.0,0.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V40919543,Strepsils Regular 24*6,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Jogoo Road,BAZAR,Accessories,1000.0,0.0,1000.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,RE40920510,kaluma King,32.0,137.93103448275863,862.0689655172414,256.5517241379311,605.5172413793102,70.24,236.02150537634395,,,
Jogoo Road,BAZAR,Accessories,1400.0,0.0,1400.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V40919539,Durex Fetherlite Condoms 3's,2.0,193.10344827586198,1206.8965517241381,583.3620689655173,623.5344827586208,51.66428571428572,106.88636027781884,,,
Jogoo Road,BAZAR,Accessories,0.0,0.0,0.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,RE40922380,Amara lotion assorted 200ml,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Jogoo Road,BAZAR,Accessories,9000.0,0.0,9000.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,V40919540,Durex Mutual Climax Condoms 3's,10.0,1241.379310344827,7758.620689655173,4220.0,3538.620689655173,45.60888888888889,83.85357084490931,,,
Jogoo Road,BAZAR,Accessories,2320.0,0.0,2320.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,RE40920967,nivea d/effect roll on 50ml,4.0,319.9999999999998,2000.0000000000002,1482.7586206896553,517.2413793103449,25.862068965517242,34.883720930232556,,,
Jogoo Road,BAZAR,Accessories,400.0,0.0,400.0,,,,,,,,,,bazar.XLSX,Jogoo Road,2026-03-15 22:00:39.027733,RE40922399,PEPSODENT CHAROAL LEMON 30G,5.0,55.172413793103416,344.82758620689657,222.93103448275866,121.89655172413791,35.349999999999994,54.67904098994584,,,
